fast_speed_range,fast_max_speed,slow_total_profit,slow_win_rate,fast_total_profit,fast_win_rate,fast_miss_rate,slow_miss_rate,fast_avg_profit_per_bid,slow_avg_profit_per_bid,fast_avg_profit_per_win,slow_avg_profit_per_win
"(np.float64(0.29), np.float64(0.59))",0.59,2370.38691,0.31342,3663.40731,0.68658,0.0,0.0,0.01696,0.01097,0.12351,0.17507
"(np.float64(0.297), np.float64(0.597))",0.597,2371.5413,0.31406,3640.36254,0.68594,0.0,0.0,0.01685,0.01098,0.12285,0.17479
"(np.float64(0.304), np.float64(0.604))",0.604,2368.16913,0.31244,3657.98724,0.68756,0.0,0.0,0.01694,0.01096,0.12315,0.17545
"(np.float64(0.311), np.float64(0.611))",0.611,2372.21866,0.31367,3644.36578,0.68633,0.0,0.0,0.01687,0.01098,0.12292,0.17506
"(np.float64(0.318), np.float64(0.618))",0.618,2367.13238,0.3133,3646.41531,0.6867,0.0,0.0,0.01688,0.01096,0.12292,0.17489
"(np.float64(0.325), np.float64(0.625))",0.625,2385.45082,0.31482,3643.12764,0.68518,0.0,0.0,0.01687,0.01104,0.12308,0.1754
"(np.float64(0.332), np.float64(0.632))",0.632,2394.80664,0.31557,3648.34727,0.68443,0.00463,0.0,0.01697,0.01109,0.12339,0.17567
"(np.float64(0.339), np.float64(0.639))",0.639,2372.21315,0.31441,3657.1935,0.68559,0.00056,0.0,0.01694,0.01098,0.12348,0.17465
"(np.float64(0.346), np.float64(0.646))",0.646,2378.21901,0.31419,3643.42801,0.68581,0.0,0.0,0.01687,0.01101,0.12298,0.17522
"(np.float64(0.354), np.float64(0.654))",0.654,2349.85668,0.31229,3658.72082,0.68771,0.0,0.0,0.01694,0.01088,0.12315,0.17418
"(np.float64(0.361), np.float64(0.661))",0.661,2365.04418,0.3124,3662.6174,0.6876,0.0,0.0,0.01696,0.01095,0.1233,0.17525
"(np.float64(0.368), np.float64(0.668))",0.668,2470.80138,0.32506,3595.39633,0.67494,0.04071,0.0,0.01735,0.01144,0.12331,0.17595
"(np.float64(0.375), np.float64(0.675))",0.675,2593.55938,0.33848,3516.50765,0.66152,0.0897,0.0,0.01788,0.01201,0.12305,0.17737
"(np.float64(0.382), np.float64(0.682))",0.682,2438.77547,0.32137,3613.00692,0.67863,0.02702,0.0,0.01719,0.01129,0.12324,0.17566
"(np.float64(0.389), np.float64(0.689))",0.689,2367.50722,0.31289,3667.25477,0.68711,0.0,0.0,0.01698,0.01096,0.12355,0.17515
"(np.float64(0.396), np.float64(0.696))",0.696,2539.52147,0.3322,3552.57806,0.6678,0.06356,0.0,0.01756,0.01176,0.12314,0.17696
